Identyfikator zadania;Nazwa zadania;Zasobnik;Cel;Stan;Priorytet;Przypisane do;Utworzona przez;Data utworzenia;Data ukończenia;Data rozpoczęcia;Jest cykliczne;Opóźnienie;Data zakończenia;Ukończone przez;Ukończone elementy listy kontrolnej;Elementy listy kontrolnej;Etykiety;Notatki
bqTpDgUSd0e184Dbzn8KhJYAC6K6;Problem Statement;C9yhStB6f0Ggpiih72XPC5YAPK_B;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;General;"PROBLEM STATEMENT
Currently within Kainos there is not one source of truth to view job roles and the relevant information attached (e.g. job descriptions, capability, competencies, banding, training etc) this can be confusing and time consuming for employees to retrieve the relevant job role information.
VISION
An online job application that serves both Kainos recruitment admin to retrieve and update job roles and their relevant information and applicants to apply for roles."
hTnLqDEiSU-KWq3C3SyUIJYAPLyL;Helpful Links;C9yhStB6f0Ggpiih72XPC5YAPK_B;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;General;"Kainos SharePoint -
https://kainossoftwareltd.sharepoint.com/SitePages/Home.aspx
Career Lattice - https://kainossoftwareltd.sharepoint.com/sites/Career/SitePages/CareerLattice-Engineering.aspx
Kainos jobs - https://kainos.wd3.myworkdayjobs.com/Kainos/
Training courses - https://kainossoftwareltd.sharepoint.com/sites/Development/SitePages/MAP%20Courses.aspx"
dMaLw_e5NU2B4Xxzi55kVZYADDKC;Minimum Technical Requirements;C9yhStB6f0Ggpiih72XPC5YAPK_B;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;General;"The following is the minimum technical requirements needed to complete this project:
Main branch must be protected (can't push directly)
All tickets must have a pull request attached before being moved to ‘In Review’
Pull requests must be approved by 1 other dev and your tech lead (mentor)
Tests should run and pass on every pull request before merge
Tests should run and pass on main branch after PR is merged
Linting check must pass on every pull request before merge
No usernames/passwords in source
Must be able to recreate database in the case of an outage
Web application should not talk directly to database
Tests should not be flakey (i.e. pass sometimes)
All input must be validated
Sensitive data should not be stored in the URL
Application should be able to run on everyones machine
All features need to be signed off by tech lead (mentor)
Frontend should be Node.js Typescript"
Dp_RTXQTOUyUFOXu2GHZ0ZYAAIuV;AI000 PROBLEM STATEMENT;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;"AI Engineering Ticket;General";"Produce a tool that will produce some analysis of some job description text.  This could be:
Formality score (how formal/professional vs informal/colloquial is text) + highlight formal/informal sentences/words
This may also include:
Sentiment analysis
Language detection
Gender bias detection
The tool will be integrated into main Kainos jobs website.
General tasks:
Find a dataset
Create a suitable model
Deploy the model to an API Endpoint
Integrate the model into the website"
5sMxJTEHvkClcbNIH_VnFpYAIXQj;AI001 - Find Suitable Dataset;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As a AI Engineer I want a data set to train an NLP model and output the formality of text
AC:
Find a suitable dataset
Split the data into training, test and validation
Ideas:
Datasets:
GYAFC
NUS Social Media Text Normalisation Corpus
Papers:
https://arxiv.org/pdf/2204.08975.pdf
https://github.com/YonglinWang-Brandeis/text-formality-classifier/blob/master/doc/project_report.pdf
https://cs.brown.edu/people/epavlick/papers/formality.pdf"
-HzMbndgoUGwtwfIj1m905YACjur;AI002 - EDA (Exploratory Data Analysis);oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As AI Engineer I want to have a better understanding of the data so I know how it can be used to create a model
AC:
Import the train data into a Jupyter notebook locally
Get insights from the text itself
Look into distributions of the columns. Looks for class imbalance
Make use of graphs to shows key insights from the data"
erBhq9bnuk-xismDyK4VE5YAIzX4;AI003 - Preprocess the Text and Create Text Embeddings;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer I need the data prepared so it’s ready to be fed into a model
AC:
Remove null values
Vectorize
Create a function to stem text with chosen stemmer
Use some stopwords (carefully curate)"
WR2-sUoEhEmn95Pz7WPYp5YAIPvp;AI004 - Explore Appropriate Models and Train;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer I want to use multiple models to give a more accurate baseline performance before further experimenting
AC:
Use the SKLearn diagram to find a suitable model
Also include a gradient boosted model
Use test split to output the accuracy for each model"
VYyJlr7i3kKdHDip1JlqeZYABW0b;AI005 - Create Evaluation Visualizations;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an Product Owner I want a clear view of the different accuracy metrics of the models so I can track progress and decide which model is best
AC:
Create a confusion matrix visualisation for each model
Calculate and show graphically the F1, Recall, precision and accuracy of each model"
MR64vpoFq0yW921Tfouzr5YAKGic;AI006 - Output Sentiment Analysis From Pretrained Model;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As a PO I want to know other sentiments that relate to the job description text that we can quantify e.g. subjectivity, positivity
AC:
Find a pre-trained sentiment analysis model
Choose some examples to demo to the PO
Hint: https://towardsdatascience.com/the-most-favorable-pre-trained-sentiment-classifiers-in-python-9107c06442c6"
